id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,perfil_riesgo
ASG-00004,Basico,9,Manta,2,3,False,785.7,
ASG-00005,Premium,13,Quito,4,2,False,393.3,
ASG-00007,Basico,5,Guayaquil,4,4,True,883.9,
ASG-00010,Premium,7,Cuenca,4,5,False,397.6,
ASG-00012,Premium,9,Loja,2,1,False,527.7,
ASG-00013,Basico,12,Ambato,2,5,False,805.7,
ASG-00014,Premium,4,Guayaquil,3,3,False,339.7,
ASG-00016,Basico,8,Quito,3,1,True,747.0,
ASG-00017,Basico,5,Loja,4,4,False,517.2,
ASG-00018,Premium,9,Manta,1,0,True,391.7,
ASG-00019,Premium,13,Loja,4,4,True,530.9,
ASG-00021,Premium,11,Ambato,3,5,False,366.9,
ASG-00022,Estandar,3,Manta,1,5,False,883.1,
ASG-00023,Premium,9,Guayaquil,3,5,True,391.7,
ASG-00025,Premium,15,Cuenca,3,1,True,444.5,
ASG-00027,Estandar,9,Quito,3,4,False,878.6,
ASG-00030,Premium,2,Cuenca,1,4,True,653.1,
ASG-00031,Premium,2,Loja,1,1,True,843.3,
ASG-00032,Estandar,2,Ambato,2,2,False,428.5,
ASG-00034,Premium,2,Guayaquil,4,2,False,546.7,
ASG-00036,Premium,4,Quito,2,4,False,384.1,
ASG-00037,Premium,5,Manta,2,0,False,784.8,
ASG-00043,Premium,10,Guayaquil,2,3,True,865.0,
ASG-00045,Basico,10,Ambato,3,2,True,701.8,
ASG-00046,Estandar,4,Cuenca,4,1,False,574.3,
ASG-00051,Premium,12,Ambato,2,2,False,662.9,
ASG-00053,Premium,2,Loja,4,2,True,302.1,
ASG-00054,Premium,11,Cuenca,2,5,False,631.0,
ASG-00055,Estandar,9,Guayaquil,1,0,True,627.4,
ASG-00056,Estandar,10,Ambato,2,3,True,325.1,
ASG-00059,Premium,14,Quito,2,3,True,407.6,
ASG-00060,Estandar,13,Manta,2,2,True,772.4,
ASG-00062,Estandar,6,Cuenca,2,1,True,696.0,
ASG-00063,Estandar,6,Cuenca,1,2,False,684.9,
ASG-00066,Estandar,12,Cuenca,4,4,True,531.1,
ASG-00067,Basico,4,Cuenca,1,5,False,301.0,
ASG-00068,Basico,11,Loja,2,2,False,342.0,
ASG-00070,Estandar,9,Cuenca,4,2,False,718.3,
ASG-00071,Basico,3,Quito,4,5,False,706.4,
ASG-00072,Premium,10,Ambato,3,3,True,482.3,
ASG-00073,Premium,7,Ambato,3,3,False,565.3,
ASG-00074,Premium,9,Manta,2,5,True,470.3,
ASG-00075,Basico,11,Ambato,3,0,True,703.7,
ASG-00077,Estandar,10,Guayaquil,4,3,True,731.0,
ASG-00086,Basico,4,Guayaquil,4,3,False,625.6,
ASG-00087,Estandar,1,Quito,4,3,True,814.0,
ASG-00088,Basico,7,Manta,1,2,False,752.1,
ASG-00090,Estandar,1,Manta,3,5,False,734.5,
ASG-00091,Estandar,15,Quito,1,3,True,350.4,
ASG-00092,Estandar,3,Manta,2,0,False,527.5,
ASG-00095,Estandar,4,Loja,1,5,True,752.5,
ASG-00097,Premium,10,Quito,4,5,False,760.1,
ASG-00099,Premium,15,Cuenca,4,3,True,345.6,
ASG-00100,Basico,14,Loja,2,0,False,810.2,
ASG-00102,Premium,9,Loja,3,0,False,793.4,
ASG-00106,Estandar,4,Manta,4,2,True,596.6,
ASG-00111,Premium,5,Loja,3,3,False,555.3,
ASG-00113,Estandar,4,Guayaquil,2,2,True,745.7,
ASG-00116,Estandar,3,Cuenca,1,5,True,464.6,
ASG-00117,Premium,9,Cuenca,2,5,False,361.6,
ASG-00121,Estandar,2,Quito,1,4,False,663.8,
ASG-00123,Basico,7,Cuenca,1,4,True,868.6,
ASG-00124,Premium,11,Quito,3,5,True,394.2,
ASG-00125,Premium,9,Guayaquil,2,0,False,570.3,
ASG-00127,Basico,14,Manta,1,5,True,854.3,
ASG-00129,Basico,3,Cuenca,2,0,True,399.6,
ASG-00130,Estandar,10,Loja,3,3,True,581.2,
ASG-00136,Estandar,11,Guayaquil,2,2,False,716.2,
ASG-00138,Estandar,2,Manta,1,5,False,547.9,
ASG-00139,Premium,9,Cuenca,4,5,False,756.0,
ASG-00144,Estandar,7,Manta,4,1,False,630.8,
ASG-00145,Estandar,4,Ambato,2,0,False,763.6,
ASG-00147,Basico,10,Loja,4,1,False,623.1,
ASG-00150,Basico,8,Loja,4,3,True,597.2,
ASG-00151,Premium,3,Ambato,3,0,False,359.8,
ASG-00152,Estandar,1,Loja,2,3,True,344.9,
ASG-00156,Basico,2,Manta,1,5,True,566.2,
ASG-00159,Premium,3,Quito,1,4,False,671.8,
ASG-00160,Premium,8,Ambato,2,1,False,682.7,
ASG-00162,Premium,2,Manta,3,4,False,683.4,
ASG-00163,Estandar,12,Cuenca,4,2,True,899.6,
ASG-00164,Estandar,2,Quito,4,4,False,644.9,
ASG-00165,Basico,5,Guayaquil,4,2,True,639.6,
ASG-00168,Basico,13,Loja,2,5,True,842.0,
ASG-00170,Premium,15,Cuenca,3,5,False,405.4,
ASG-00174,Basico,6,Guayaquil,4,0,False,621.9,
ASG-00175,Estandar,6,Loja,3,4,False,793.5,
ASG-00176,Estandar,2,Loja,2,3,True,671.7,
ASG-00177,Basico,6,Ambato,2,5,True,681.2,
ASG-00178,Estandar,15,Loja,3,5,False,370.0,
ASG-00179,Premium,1,Cuenca,4,0,True,440.9,
ASG-00180,Basico,3,Manta,4,2,False,652.4,
ASG-00181,Basico,3,Manta,1,3,False,863.4,
ASG-00182,Estandar,1,Loja,3,1,False,566.8,
ASG-00185,Estandar,2,Loja,2,5,True,330.3,
ASG-00187,Premium,6,Quito,1,2,True,892.5,
ASG-00188,Basico,5,Quito,1,5,True,379.1,
ASG-00190,Premium,12,Manta,1,5,True,585.7,
ASG-00191,Estandar,9,Ambato,1,3,True,867.2,
ASG-00192,Premium,12,Loja,3,3,True,336.5,
ASG-00193,Estandar,14,Manta,4,5,True,594.2,
ASG-00196,Basico,7,Guayaquil,1,5,True,558.0,
ASG-00197,Premium,7,Cuenca,4,3,False,737.8,
ASG-00200,Basico,6,Quito,1,4,False,702.0,
ASG-00201,Estandar,6,Loja,4,5,True,881.0,
ASG-00204,Estandar,10,Quito,4,4,True,665.4,
ASG-00206,Estandar,15,Cuenca,3,0,True,821.9,
