id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion,nombre_pdf
DOC-000004,SIN-00002,Cedula asegurado,True,True,2024-12-22,False,Sin observaciones,
DOC-000005,SIN-00002,Informe perito,True,True,2024-12-19,False,Sin observaciones,
DOC-000006,SIN-00002,Denuncia policial,True,True,2024-12-19,False,Sin observaciones,
DOC-000010,SIN-00004,Cedula asegurado,False,False,2024-07-07,True,Fecha previa al evento detectada,
DOC-000011,SIN-00004,Factura taller,False,False,2024-07-04,True,Fecha previa al evento detectada,
DOC-000012,SIN-00004,Foto evidencia,False,True,2024-07-07,False,Sin observaciones,
DOC-000020,SIN-00007,Denuncia policial,False,False,2024-11-21,True,Fecha previa al evento detectada,
DOC-000021,SIN-00007,Informe perito,False,False,2024-11-24,True,Fecha previa al evento detectada,
DOC-000022,SIN-00007,Foto evidencia,False,False,2024-11-22,True,Fecha previa al evento detectada,
DOC-000023,SIN-00007,Factura taller,False,True,2024-11-19,False,Sin observaciones,
DOC-000024,SIN-00007,Cedula asegurado,False,False,2024-11-19,True,Fecha previa al evento detectada,
DOC-000025,SIN-00008,Informe perito,False,True,2024-08-01,False,Sin observaciones,
DOC-000026,SIN-00008,Foto evidencia,False,True,2024-07-31,False,Sin observaciones,
DOC-000027,SIN-00008,Cedula asegurado,False,True,2024-08-01,False,Sin observaciones,
DOC-000028,SIN-00008,Denuncia policial,False,True,2024-08-05,False,Sin observaciones,
DOC-000029,SIN-00008,Factura taller,False,True,2024-08-03,False,Sin observaciones,
DOC-000034,SIN-00010,Foto evidencia,True,True,2024-12-29,False,Sin observaciones,
DOC-000035,SIN-00010,Cedula asegurado,True,True,2024-12-28,False,Sin observaciones,
DOC-000036,SIN-00010,Factura taller,True,True,2024-12-28,False,Sin observaciones,
DOC-000037,SIN-00010,Denuncia policial,True,True,2024-12-25,False,Sin observaciones,
DOC-000044,SIN-00013,Factura taller,True,True,2025-03-28,False,Sin observaciones,
DOC-000045,SIN-00013,Informe perito,True,True,2025-03-27,False,Sin observaciones,
DOC-000046,SIN-00013,Denuncia policial,True,True,2025-03-23,False,Sin observaciones,
DOC-000047,SIN-00014,Denuncia policial,True,True,2024-06-23,False,Sin observaciones,
DOC-000048,SIN-00014,Factura taller,True,True,2024-06-22,False,Sin observaciones,
DOC-000049,SIN-00015,Foto evidencia,True,True,2025-07-16,False,Sin observaciones,
DOC-000050,SIN-00015,Denuncia policial,True,True,2025-07-13,False,Sin observaciones,
DOC-000051,SIN-00015,Factura taller,True,True,2025-07-16,False,Sin observaciones,
DOC-000052,SIN-00016,Foto evidencia,True,True,2025-04-23,False,Sin observaciones,
DOC-000053,SIN-00016,Factura taller,True,True,2025-04-22,False,Sin observaciones,
DOC-000054,SIN-00016,Informe perito,True,True,2025-04-24,False,Sin observaciones,
DOC-000055,SIN-00016,Cedula asegurado,True,True,2025-04-25,False,Sin observaciones,
DOC-000056,SIN-00017,Factura taller,False,True,2024-07-15,False,Sin observaciones,
DOC-000057,SIN-00017,Denuncia policial,False,True,2024-07-16,False,Sin observaciones,
