id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00003,ASG-00138,Salud,2025-05-02,2026-05-02,946.0,40275.06,323.42,Directo,Manta,Vencida
POL-00004,ASG-00185,Vehiculos,2025-02-06,2026-02-06,455.58,47433.21,555.79,Digital,Loja,Activa
POL-00005,ASG-00068,Vehiculos,2024-10-05,2025-10-05,618.57,25197.97,643.79,Directo,Loja,Activa
POL-00006,ASG-00014,Vehiculos,2025-04-14,2026-04-14,901.65,9187.89,678.44,Digital,Guayaquil,Vencida
POL-00007,ASG-00007,Hogar,2025-02-05,2026-02-05,1003.48,40062.61,779.88,Broker,Guayaquil,Cancelada
POL-00008,ASG-00267,Salud,2025-05-17,2026-05-17,1465.04,12627.58,415.14,Digital,Loja,Vencida
POL-00009,ASG-00075,Vehiculos,2024-07-11,2025-07-11,584.25,17418.28,439.8,Agente,Ambato,Vencida
POL-00010,ASG-00129,Salud,2024-08-12,2025-08-12,1525.53,27311.11,693.34,Directo,Cuenca,Activa
POL-00011,ASG-00070,Hogar,2024-10-21,2025-10-21,311.5,22806.14,873.29,Directo,Cuenca,Vencida
POL-00014,ASG-00150,Vida,2024-08-21,2025-08-21,1945.2,40188.85,460.71,Digital,Loja,Vencida
POL-00015,ASG-00187,Vehiculos,2025-05-22,2026-05-22,1884.51,13991.0,997.81,Broker,Quito,Cancelada
POL-00016,ASG-00394,Generales,2024-05-29,2025-05-29,345.76,37724.6,954.38,Broker,Cuenca,Vencida
POL-00017,ASG-00150,Vehiculos,2024-12-08,2025-12-08,1692.24,40804.56,527.31,Directo,Loja,Activa
POL-00020,ASG-00019,Hogar,2025-03-03,2026-03-03,1492.78,41553.36,675.06,Agente,Loja,Activa
POL-00021,ASG-00394,Salud,2025-05-12,2026-05-12,1417.92,20975.4,717.6,Agente,Cuenca,Cancelada
POL-00023,ASG-00051,Hogar,2024-08-01,2025-08-01,677.4,38608.39,646.39,Broker,Ambato,Vencida
POL-00024,ASG-00192,Vida,2025-04-14,2026-04-14,1087.21,35580.0,752.35,Broker,Loja,Vencida
POL-00025,ASG-00013,Vida,2024-05-30,2025-05-30,477.73,23718.89,969.38,Agente,Ambato,Cancelada
POL-00026,ASG-00073,Hogar,2024-08-12,2025-08-12,830.21,25489.97,365.49,Directo,Ambato,Vencida
POL-00028,ASG-00364,Vehiculos,2025-07-15,2026-07-15,338.39,20438.51,287.49,Broker,Quito,Cancelada
POL-00029,ASG-00125,Generales,2025-04-20,2026-04-20,596.57,12206.11,647.88,Directo,Guayaquil,Activa
