id_vehiculo,id_siniestro,placa,chasis,motor,marca,modelo,anio
VEH-00044,SIN-00044,,,,,,
VEH-00246,SIN-00246,,,,,,
VEH-00283,SIN-00283,,,,,,
VEH-00636,SIN-00636,,,,,,
VEH-00790,SIN-00790,,,,,,
VEH-00840,SIN-00840,,,,,,
VEH-00645,SIN-00645,,,,,,
VEH-00681,SIN-00681,,,,,,
VEH-00409,SIN-00409,,,,,,
VEH-00900,SIN-00900,,,,,,
VEH-00014,SIN-00014,,,,,,
VEH-00814,SIN-00814,,,,,,
VEH-00752,SIN-00752,,,,,,
VEH-00004,SIN-00004,,,,,,
VEH-00181,SIN-00181,,,,,,
VEH-00461,SIN-00461,,,,,,
VEH-00365,SIN-00365,,,,,,
VEH-00097,SIN-00097,,,,,,
VEH-00017,SIN-00017,,,,,,
VEH-00927,SIN-00927,,,,,,
VEH-00269,SIN-00269,,,,,,
VEH-00052,SIN-00052,,,,,,
VEH-00234,SIN-00234,,,,,,
VEH-00874,SIN-00874,,,,,,
VEH-00077,SIN-00077,,,,,,
VEH-00227,SIN-00227,,,,,,
VEH-00430,SIN-00430,,,,,,
VEH-00759,SIN-00759,,,,,,
VEH-00094,SIN-00094,,,,,,
VEH-00369,SIN-00369,,,,,,
VEH-00446,SIN-00446,,,,,,
VEH-00008,SIN-00008,,,,,,
VEH-00090,SIN-00090,,,,,,
VEH-00560,SIN-00560,,,,,,
VEH-00145,SIN-00145,,,,,,
VEH-00079,SIN-00079,,,,,,
VEH-00967,SIN-00967,,,,,,
VEH-00516,SIN-00516,,,,,,
VEH-00739,SIN-00739,,,,,,
VEH-00949,SIN-00949,,,,,,
VEH-00554,SIN-00554,,,,,,
VEH-00108,SIN-00108,,,,,,
VEH-00971,SIN-00971,,,,,,
VEH-00987,SIN-00987,,,,,,
VEH-00392,SIN-00392,,,,,,
VEH-00916,SIN-00916,,,,,,
VEH-00476,SIN-00476,,,,,,
VEH-00220,SIN-00220,,,,,,
VEH-00453,SIN-00453,,,,,,
VEH-00209,SIN-00209,,,,,,
VEH-00327,SIN-00327,,,,,,
VEH-00764,SIN-00764,,,,,,
VEH-00771,SIN-00771,,,,,,
VEH-00570,SIN-00570,,,,,,
VEH-00322,SIN-00322,,,,,,
VEH-00523,SIN-00523,,,,,,
VEH-00622,SIN-00622,,,,,,
VEH-00182,SIN-00182,,,,,,
VEH-00471,SIN-00471,,,,,,
VEH-00718,SIN-00718,,,,,,
VEH-00152,SIN-00152,,,,,,
VEH-00827,SIN-00827,,,,,,
VEH-00535,SIN-00535,,,,,,
VEH-00173,SIN-00173,,,,,,
VEH-00186,SIN-00186,,,,,,
VEH-00105,SIN-00105,,,,,,
VEH-00207,SIN-00207,,,,,,
VEH-00506,SIN-00506,,,,,,
VEH-00624,SIN-00624,,,,,,
VEH-00035,SIN-00035,,,,,,
VEH-00291,SIN-00291,,,,,,
VEH-00709,SIN-00709,,,,,,
VEH-00810,SIN-00810,,,,,,
VEH-00704,SIN-00704,,,,,,
VEH-00740,SIN-00740,,,,,,
VEH-00508,SIN-00508,,,,,,
VEH-00861,SIN-00861,,,,,,
VEH-00902,SIN-00902,,,,,,
VEH-00678,SIN-00678,,,,,,
VEH-00520,SIN-00520,,,,,,
VEH-00302,SIN-00302,,,,,,
VEH-00684,SIN-00684,,,,,,
VEH-00707,SIN-00707,,,,,,
VEH-00708,SIN-00708,,,,,,
VEH-00233,SIN-00233,,,,,,
VEH-00670,SIN-00670,,,,,,
VEH-00802,SIN-00802,,,,,,
VEH-00064,SIN-00064,,,,,,
VEH-00731,SIN-00731,,,,,,
VEH-00199,SIN-00199,,,,,,
VEH-00749,SIN-00749,,,,,,
VEH-00439,SIN-00439,,,,,,
VEH-00996,SIN-00996,,,,,,
VEH-00758,SIN-00758,,,,,,
VEH-00777,SIN-00777,,,,,,
VEH-00863,SIN-00863,,,,,,
VEH-00106,SIN-00106,,,,,,
VEH-00429,SIN-00429,,,,,,
VEH-00866,SIN-00866,,,,,,
VEH-00596,SIN-00596,,,,,,
VEH-00680,SIN-00680,,,,,,
VEH-00633,SIN-00633,,,,,,
VEH-00056,SIN-00056,,,,,,
VEH-00666,SIN-00666,,,,,,
