id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,id_proveedor,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,ciudad,suma_asegurada,etiqueta_fraude_simulada,score,nivel_riesgo,alertas,anomalia_score,es_anomalia
SIN-00001,POL-00115,ASG-00013,Generales,Choque,2026-01-19,2026-01-19,1476.46,1429.76,1307.95,Cierre Sin Consecuencia,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica San Marcos,P002,309,56,0,0,Ambato,16020.13,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.0027472570594601065,0
SIN-00002,POL-00430,ASG-00113,Vida,Atencion medica,2025-05-31,2025-06-02,10982.33,10774.96,10151.5,Cierre Sin Consecuencia,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,21,344,2,3,Cuenca,17518.58,0,12,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts),0.09091827554548398,0
SIN-00003,POL-00550,ASG-00064,Generales,Robo,2025-11-21,2025-11-30,22001.49,21796.99,0.0,Pago Parcial,Sur,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller El Veloz,P001,4,361,9,6,Loja,22034.05,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 100% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),0.00042560844526773334,0
SIN-00004,POL-00380,ASG-00182,Generales,Responsabilidad Civil,2025-12-11,2025-12-12,2101.76,2305.33,2056.35,Liquidado,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Clinica San Marcos,P002,234,131,1,1,Quito,17014.0,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.07263967866484033,0
SIN-00005,POL-00333,ASG-00394,Vida,Atencion medica,2025-08-01,2025-08-08,10581.18,8918.47,6616.52,Cierre Sin Consecuencia,Oeste,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Clinica del Sur,P006,29,336,7,3,Guayaquil,15307.16,0,19,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts),0.06349246948511511,0
SIN-00006,POL-00552,ASG-00135,Salud,Robo,2026-03-19,2026-03-19,10622.2,11021.85,9111.19,Reserva,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica del Sur,P006,119,246,0,0,Ambato,24279.52,0,0,VERDE,Sin alertas detectadas,0.06496226276255218,0
SIN-00007,POL-00391,ASG-00306,Vehiculos,Responsabilidad Civil,2026-07-07,2026-07-09,2886.73,2702.32,2664.88,Cierre Sin Consecuencia,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller El Veloz,P001,249,116,2,0,Ambato,28810.15,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.05127922424206349,0
SIN-00008,POL-00513,ASG-00391,Generales,Dano parcial,2025-05-04,2025-05-10,40379.51,32539.55,31847.42,Pago Parcial,Sur,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Central,P005,16,349,6,3,Quito,46068.25,0,15,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts),0.03690058515395356,0
SIN-00009,POL-00060,ASG-00124,Vehiculos,Robo,2026-04-15,2026-04-28,43637.67,40133.46,0.0,Cierre Sin Consecuencia,Centro,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Grua Rapida,P007,8,357,13,5,Quito,47612.73,1,43,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.057115852630737485,1
SIN-00010,POL-00449,ASG-00265,Generales,Dano parcial,2026-02-16,2026-02-16,1323.91,1085.9,770.36,Pago Parcial,Norte,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Taller El Veloz,P001,173,192,0,0,Quito,16155.75,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),0.03282786006673166,0
SIN-00011,POL-00527,ASG-00122,Salud,Incendio,2026-01-24,2026-01-31,19461.78,20612.96,14764.06,Cierre Sin Consecuencia,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,False,Taller Premium,P008,14,351,7,3,Manta,26843.65,0,19,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts),0.08996839122981953,0
SIN-00012,POL-00063,ASG-00207,Salud,Robo,2025-05-07,2025-05-16,38822.0,42343.11,0.0,Pago Total,Sur,El vehiculo fue impactado por un tercero que se dio a la fuga sin dejar datos.,False,Taller El Veloz,P001,3,362,9,3,Manta,41026.66,1,43,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),0.028164893581477113,0
SIN-00013,POL-00417,ASG-00249,Vida,Choque,2025-10-21,2025-10-25,31732.01,28210.15,27945.34,Liquidado,Oeste,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Taller Norte,P003,25,340,4,2,Manta,43909.27,0,15,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 2 siniestros recientes (+4 pts) | Documentos incompletos o faltantes (+4 pts),0.060799904209715705,0
SIN-00014,POL-00063,ASG-00383,Vehiculos,Dano parcial,2026-04-28,2026-04-28,2305.84,1927.6,1864.16,Pago Total,Oeste,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,288,77,0,1,Guayaquil,7256.41,0,0,VERDE,Sin alertas detectadas,0.00595140658312876,0
SIN-00015,POL-00041,ASG-00318,Hogar,Robo,2026-09-02,2026-09-03,5862.53,5494.17,5377.17,Reserva,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Clinica del Sur,P006,157,208,1,1,Loja,34581.79,0,0,VERDE,Sin alertas detectadas,0.07878907910995403,0
SIN-00016,POL-00470,ASG-00319,Generales,Atencion medica,2025-02-20,2025-02-20,22205.29,18815.08,17876.65,Cierre Sin Consecuencia,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,41,324,0,1,Quito,49824.34,0,0,VERDE,Sin alertas detectadas,-0.018282232173183144,1
SIN-00017,POL-00542,ASG-00005,Salud,Atencion medica,2024-07-13,2024-07-14,5169.3,5248.31,3994.38,Cierre Sin Consecuencia,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica San Marcos,P002,26,339,1,0,Guayaquil,29957.1,0,14,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Proveedor en lista restrictiva (+10 pts),0.06018625899605212,0
SIN-00018,POL-00518,ASG-00251,Hogar,Choque,2025-08-07,2025-08-14,40553.06,39266.39,28804.34,Cierre Sin Consecuencia,Sur,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Grua Rapida,P007,15,350,7,3,Guayaquil,45867.16,0,25,AMARILLO,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Proveedor en lista restrictiva (+10 pts),0.030072222739973564,0
SIN-00019,POL-00559,ASG-00019,Vehiculos,Atencion medica,2024-08-15,2024-08-15,14186.78,14187.92,11436.93,Liquidado,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,20,345,0,0,Cuenca,31212.93,0,4,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts),0.04418643337964734,0
SIN-00020,POL-00159,ASG-00122,Vehiculos,Robo,2026-01-25,2026-01-28,20110.21,17048.62,15520.78,Negativa,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Grua Rapida,P007,157,208,3,1,Loja,48929.27,0,18,VERDE,Proveedor en lista restrictiva (+10 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),0.012686847464919215,0
SIN-00021,POL-00482,ASG-00114,Salud,Choque,2025-09-12,2025-09-16,39411.48,39563.43,37707.84,Pago Parcial,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,False,Peritajes Express,P004,21,344,4,3,Loja,46330.34,0,19,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts),0.029150110133990603,0
SIN-00022,POL-00119,ASG-00134,Generales,Incendio,2025-10-15,2025-10-17,11903.48,10898.33,9513.99,Pago Parcial,Norte,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica San Marcos,P002,315,50,2,0,Cuenca,48314.04,0,10,VERDE,Proveedor en lista restrictiva (+10 pts),-0.000957767263996212,1
SIN-00023,POL-00447,ASG-00001,Hogar,Incendio,2025-03-20,2025-03-22,13644.03,12990.98,11692.76,Pago Parcial,Este,Colision leve en interseccion con semaforo. El tercero presento sus datos.,True,Peritajes Express,P004,110,255,2,1,Guayaquil,41292.99,0,0,VERDE,Sin alertas detectadas,0.08241203710249029,0
SIN-00024,POL-00303,ASG-00284,Generales,Dano parcial,2025-02-07,2025-02-07,4466.93,4626.52,4080.58,Pago Parcial,Este,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,234,131,0,1,Cuenca,23920.09,0,0,VERDE,Sin alertas detectadas,0.05689931128329423,0
SIN-00025,POL-00453,ASG-00227,Vehiculos,Atencion medica,2026-06-30,2026-07-02,2576.94,2235.22,1698.18,Reserva,Norte,Dano por granizo en estacionamiento del trabajo. Evidencia fotografica adjunta.,True,Taller Norte,P003,78,287,2,1,Ambato,28002.83,0,0,VERDE,Sin alertas detectadas,0.08366778175533579,0
SIN-00026,POL-00251,ASG-00244,Vida,Incendio,2026-05-23,2026-05-25,32684.53,26640.03,20639.62,Reserva,Este,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,True,Peritajes Express,P004,11,354,2,3,Manta,39582.02,0,12,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts),0.05689126697060526,0
SIN-00027,POL-00137,ASG-00238,Generales,Responsabilidad Civil,2026-06-11,2026-06-14,22439.96,19696.84,15248.74,Cierre Sin Consecuencia,Centro,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Taller Premium,P008,312,53,3,1,Ambato,49455.16,0,0,VERDE,Sin alertas detectadas,-0.05321733783869265,1
SIN-00028,POL-00534,ASG-00249,Salud,Atencion medica,2025-09-15,2025-09-17,11110.64,11243.14,8086.84,Negativa,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,28,337,2,2,Cuenca,17356.89,0,8,VERDE,Siniestro ocurrido en los primeros 30 dias de la poliza (+4 pts) | Asegurado con 2 siniestros recientes (+4 pts),0.09111768620195226,0
SIN-00029,POL-00556,ASG-00239,Generales,Robo,2025-04-23,2025-05-02,13954.83,12988.47,0.0,Reserva,Este,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Clinica San Marcos,P002,6,359,9,5,Manta,14307.55,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 98% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),0.028562840654143273,0
SIN-00030,POL-00345,ASG-00343,Salud,Robo,2025-10-20,2025-11-03,22183.89,18956.55,0.0,Pago Parcial,Este,Colision frontal con vehiculo desconocido en horas de la madrugada sin testigos.,False,Taller El Veloz,P001,7,358,14,6,Ambato,23194.25,1,48,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte tardio: mas de 7 dias despues del evento (+5 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 96% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.04532755262380905,1
SIN-00031,POL-00336,ASG-00109,Vida,Atencion medica,2025-07-16,2025-07-16,10092.92,10042.89,9383.77,Cierre Sin Consecuencia,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Central,P005,56,309,0,0,Guayaquil,20187.52,0,0,VERDE,Sin alertas detectadas,0.05262670932979957,0
SIN-00032,POL-00032,ASG-00127,Vida,Responsabilidad Civil,2026-01-16,2026-01-17,1534.1,1304.5,1150.8,Cierre Sin Consecuencia,Norte,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Taller Norte,P003,213,152,1,1,Guayaquil,5917.1,0,0,VERDE,Sin alertas detectadas,0.036816519574435214,0
SIN-00033,POL-00168,ASG-00160,Vida,Robo,2025-07-26,2025-08-01,5969.14,5959.93,0.0,Reserva,Oeste,El asegurado reporta que su vehiculo fue robado en un estacionamiento sin camaras.,False,Clinica San Marcos,P002,4,361,6,6,Quito,6155.53,1,46,ROJO,Siniestro ocurrido en los primeros 10 dias de la poliza (+8 pts) | Reporte con demora de 4 a 7 dias (+3 pts) | Asegurado con 3 o mas siniestros en 18 meses (+8 pts) | Documentos incompletos o faltantes (+4 pts) | Proveedor en lista restrictiva (+10 pts) | Monto reclamado es el 97% de la suma asegurada (+5 pts) | Robo reportado con mas de 48 horas de demora (+8 pts),-0.040150966825940326,1
SIN-00034,POL-00350,ASG-00007,Vida,Responsabilidad Civil,2025-02-19,2025-02-21,13742.34,12910.41,12235.46,Liquidado,Centro,Choque en parqueadero de centro comercial con camaras de seguridad.,True,Clinica del Sur,P006,224,141,2,1,Quito,42004.89,0,0,VERDE,Sin alertas detectadas,0.06269171929070272,0
SIN-00035,POL-00331,ASG-00126,Vida,Dano parcial,2025-08-26,2025-08-28,559.93,529.84,427.29,Pago Parcial,Centro,Robo de autopartes reportado inmediatamente a la policia. Denuncia adjunta.,True,Peritajes Express,P004,128,237,2,0,Ambato,8899.83,0,0,VERDE,Sin alertas detectadas,0.032372891415266336,0
SIN-00036,POL-00287,ASG-00306,Vehiculos,Robo,2026-07-31,2026-08-01,6289.05,6527.28,4751.31,Pago Total,Este,Accidente en carretera con policia presente. Croquis firmado por ambas partes.,True,Peritajes Express,P004,158,207,1,1,Loja,17432.09,0,0,VERDE,Sin alertas detectadas,0.09321962478044044,0
