id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00001,ASG-00231,Vida,2026-05-24,2027-05-24,687.84,29886.7,500.34,Broker,Guayaquil,Cancelada
POL-00002,ASG-00300,Vida,2025-06-07,2026-06-07,445.68,32837.72,838.44,Agente,Quito,Activa
POL-00003,ASG-00138,Salud,2025-05-02,2026-05-02,946.0,40275.06,323.42,Directo,Manta,Vencida
POL-00004,ASG-00185,Vehiculos,2025-02-06,2026-02-06,455.58,47433.21,555.79,Digital,Loja,Activa
POL-00005,ASG-00068,Vehiculos,2024-10-05,2025-10-05,618.57,25197.97,643.79,Directo,Loja,Activa
POL-00006,ASG-00014,Vehiculos,2025-04-14,2026-04-14,901.65,9187.89,678.44,Digital,Guayaquil,Vencida
POL-00007,ASG-00007,Hogar,2025-02-05,2026-02-05,1003.48,40062.61,779.88,Broker,Guayaquil,Cancelada
POL-00008,ASG-00267,Salud,2025-05-17,2026-05-17,1465.04,12627.58,415.14,Digital,Loja,Vencida
POL-00009,ASG-00075,Vehiculos,2024-07-11,2025-07-11,584.25,17418.28,439.8,Agente,Ambato,Vencida
POL-00010,ASG-00129,Salud,2024-08-12,2025-08-12,1525.53,27311.11,693.34,Directo,Cuenca,Activa
POL-00011,ASG-00070,Hogar,2024-10-21,2025-10-21,311.5,22806.14,873.29,Directo,Cuenca,Vencida
POL-00012,ASG-00226,Hogar,2025-12-27,2026-12-27,1032.05,42059.09,720.83,Broker,Quito,Vencida
POL-00013,ASG-00165,Generales,2024-08-26,2025-08-26,1910.37,14038.32,451.35,Directo,Guayaquil,Vencida
POL-00014,ASG-00150,Vida,2024-08-21,2025-08-21,1945.2,40188.85,460.71,Digital,Loja,Vencida
POL-00015,ASG-00187,Vehiculos,2025-05-22,2026-05-22,1884.51,13991.0,997.81,Broker,Quito,Cancelada
POL-00016,ASG-00394,Generales,2024-05-29,2025-05-29,345.76,37724.6,954.38,Broker,Cuenca,Vencida
POL-00017,ASG-00150,Vehiculos,2024-12-08,2025-12-08,1692.24,40804.56,527.31,Directo,Loja,Activa
POL-00018,ASG-00325,Hogar,2026-01-14,2027-01-14,711.44,34639.83,772.19,Directo,Cuenca,Activa
POL-00019,ASG-00230,Generales,2025-08-30,2026-08-30,1114.7,23036.23,605.29,Directo,Quito,Cancelada
POL-00020,ASG-00019,Hogar,2025-03-03,2026-03-03,1492.78,41553.36,675.06,Agente,Loja,Activa
POL-00021,ASG-00394,Salud,2025-05-12,2026-05-12,1417.92,20975.4,717.6,Agente,Cuenca,Cancelada
POL-00022,ASG-00331,Vida,2026-05-12,2027-05-12,1943.58,19921.85,836.98,Agente,Guayaquil,Activa
POL-00023,ASG-00051,Hogar,2024-08-01,2025-08-01,677.4,38608.39,646.39,Broker,Ambato,Vencida
POL-00024,ASG-00192,Vida,2025-04-14,2026-04-14,1087.21,35580.0,752.35,Broker,Loja,Vencida
POL-00025,ASG-00013,Vida,2024-05-30,2025-05-30,477.73,23718.89,969.38,Agente,Ambato,Cancelada
POL-00026,ASG-00073,Hogar,2024-08-12,2025-08-12,830.21,25489.97,365.49,Directo,Ambato,Vencida
POL-00027,ASG-00244,Vehiculos,2025-09-29,2026-09-29,1044.88,36354.35,455.13,Digital,Loja,Activa
POL-00028,ASG-00364,Vehiculos,2025-07-15,2026-07-15,338.39,20438.51,287.49,Broker,Quito,Cancelada
POL-00029,ASG-00125,Generales,2025-04-20,2026-04-20,596.57,12206.11,647.88,Directo,Guayaquil,Activa
POL-00030,ASG-00208,Salud,2025-02-13,2026-02-13,616.86,34578.86,516.47,Broker,Manta,Vencida
POL-00031,ASG-00304,Vida,2025-06-11,2026-06-11,961.02,36713.1,364.63,Agente,Quito,Cancelada
POL-00032,ASG-00053,Generales,2024-09-11,2025-09-11,617.83,19669.32,566.04,Digital,Loja,Cancelada
POL-00033,ASG-00251,Generales,2025-09-18,2026-09-18,1942.06,19103.18,510.91,Directo,Guayaquil,Cancelada
POL-00034,ASG-00059,Hogar,2024-08-28,2025-08-28,898.37,25603.73,338.02,Digital,Quito,Cancelada
POL-00035,ASG-00303,Vehiculos,2026-03-10,2027-03-10,1442.59,19093.36,390.86,Agente,Cuenca,Activa
POL-00036,ASG-00192,Salud,2025-01-07,2026-01-07,1168.4,23820.76,310.29,Directo,Loja,Vencida
POL-00037,ASG-00096,Vida,2026-02-20,2027-02-20,1380.35,36204.48,716.21,Broker,Guayaquil,Cancelada
POL-00038,ASG-00086,Vida,2025-08-16,2026-08-16,791.02,13419.44,873.59,Agente,Guayaquil,Vencida
POL-00039,ASG-00005,Vida,2026-04-12,2027-04-12,532.11,41684.72,971.06,Directo,Quito,Vencida
POL-00040,ASG-00351,Vida,2025-07-25,2026-07-25,1006.57,42795.13,590.96,Agente,Guayaquil,Cancelada
POL-00041,ASG-00016,Salud,2024-06-04,2025-06-04,796.55,17368.38,630.09,Broker,Quito,Vencida
POL-00042,ASG-00290,Vida,2026-03-17,2027-03-17,1234.53,10094.49,291.37,Digital,Loja,Cancelada
POL-00043,ASG-00388,Vehiculos,2025-06-16,2026-06-16,1592.01,24861.5,374.83,Directo,Ambato,Activa
POL-00044,ASG-00377,Salud,2024-09-26,2025-09-26,806.11,49969.07,559.79,Digital,Manta,Activa
POL-00045,ASG-00225,Vehiculos,2026-05-22,2027-05-22,1618.57,15662.57,848.56,Digital,Ambato,Cancelada
POL-00046,ASG-00313,Vida,2026-03-29,2027-03-29,582.17,11265.57,365.3,Broker,Cuenca,Activa
POL-00047,ASG-00292,Hogar,2025-05-07,2026-05-07,1204.88,31858.6,334.7,Digital,Loja,Vencida
POL-00048,ASG-00294,Hogar,2025-07-03,2026-07-03,1919.08,28148.67,920.12,Agente,Guayaquil,Activa
POL-00049,ASG-00385,Vida,2025-08-24,2026-08-24,1861.91,49661.88,893.64,Broker,Guayaquil,Cancelada
POL-00050,ASG-00068,Salud,2025-06-01,2026-06-01,548.61,19494.35,398.04,Directo,Loja,Vencida
POL-00051,ASG-00073,Generales,2026-05-07,2027-05-07,1375.08,33251.58,500.14,Agente,Ambato,Cancelada
POL-00052,ASG-00394,Vehiculos,2025-02-17,2026-02-17,984.85,38741.11,755.76,Digital,Cuenca,Vencida
POL-00053,ASG-00250,Hogar,2024-08-05,2025-08-05,1289.32,44100.85,877.73,Agente,Manta,Cancelada
POL-00054,ASG-00235,Hogar,2026-01-30,2027-01-30,1745.18,40805.51,518.17,Directo,Loja,Activa
POL-00055,ASG-00254,Hogar,2024-12-04,2025-12-04,848.87,17761.69,637.85,Broker,Quito,Cancelada
POL-00056,ASG-00249,Hogar,2024-10-30,2025-10-30,1820.06,39301.43,236.75,Directo,Guayaquil,Activa
POL-00057,ASG-00064,Salud,2025-09-09,2026-09-09,1050.19,5030.42,966.43,Broker,Ambato,Cancelada
POL-00058,ASG-00068,Hogar,2026-05-27,2027-05-27,570.26,46972.65,419.22,Digital,Loja,Vencida
POL-00059,ASG-00043,Hogar,2024-09-18,2025-09-18,1429.66,34201.0,241.43,Digital,Guayaquil,Cancelada
POL-00060,ASG-00359,Salud,2025-07-23,2026-07-23,1029.69,9103.96,276.15,Broker,Manta,Vencida
POL-00061,ASG-00040,Salud,2026-05-14,2027-05-14,1309.26,28374.99,556.05,Agente,Manta,Cancelada
POL-00062,ASG-00176,Vehiculos,2025-01-28,2026-01-28,1979.86,24004.13,305.74,Agente,Loja,Activa
POL-00063,ASG-00197,Vehiculos,2026-05-21,2027-05-21,1542.3,9609.22,450.68,Digital,Cuenca,Activa
POL-00064,ASG-00196,Salud,2024-07-01,2025-07-01,1390.68,35471.17,254.73,Agente,Guayaquil,Cancelada
POL-00065,ASG-00333,Salud,2024-09-15,2025-09-15,1048.17,37509.44,702.46,Broker,Guayaquil,Vencida
POL-00066,ASG-00316,Vida,2025-02-16,2026-02-16,1761.94,8900.96,280.37,Agente,Ambato,Cancelada
POL-00067,ASG-00374,Vida,2025-07-01,2026-07-01,897.61,24322.49,832.86,Broker,Ambato,Vencida
POL-00068,ASG-00331,Vehiculos,2026-03-11,2027-03-11,721.88,32044.96,776.94,Digital,Guayaquil,Cancelada
POL-00069,ASG-00014,Hogar,2026-01-15,2027-01-15,649.26,32311.71,350.92,Directo,Guayaquil,Vencida
POL-00070,ASG-00331,Vehiculos,2026-04-24,2027-04-24,1632.46,40720.01,391.47,Directo,Guayaquil,Activa
POL-00071,ASG-00124,Vida,2025-09-18,2026-09-18,1384.74,8195.54,910.98,Agente,Quito,Vencida
POL-00072,ASG-00163,Salud,2025-02-01,2026-02-01,957.63,42753.8,536.69,Broker,Cuenca,Vencida
POL-00073,ASG-00395,Vehiculos,2024-05-27,2025-05-27,328.37,8038.97,409.75,Agente,Ambato,Activa
POL-00074,ASG-00204,Generales,2024-11-26,2025-11-26,787.03,37068.31,813.69,Directo,Quito,Cancelada
POL-00075,ASG-00206,Vehiculos,2025-04-08,2026-04-08,1388.91,29194.49,322.14,Agente,Cuenca,Vencida
POL-00076,ASG-00041,Generales,2025-03-07,2026-03-07,1865.57,48844.1,324.3,Digital,Guayaquil,Vencida
POL-00077,ASG-00301,Vehiculos,2025-12-13,2026-12-13,827.29,24686.87,962.74,Broker,Ambato,Activa
POL-00078,ASG-00126,Vehiculos,2025-10-04,2026-10-04,1871.87,10219.4,689.84,Agente,Cuenca,Vencida
POL-00079,ASG-00342,Salud,2024-11-22,2025-11-22,503.05,36855.53,761.2,Broker,Manta,Vencida
POL-00080,ASG-00178,Generales,2025-12-01,2026-12-01,1179.28,42012.81,407.4,Digital,Loja,Activa
POL-00081,ASG-00384,Hogar,2025-11-01,2026-11-01,1545.99,10312.55,919.92,Digital,Loja,Vencida
POL-00082,ASG-00140,Generales,2026-03-26,2027-03-26,408.58,37054.55,661.32,Agente,Ambato,Vencida
POL-00083,ASG-00234,Generales,2026-04-17,2027-04-17,912.21,27482.45,653.51,Digital,Guayaquil,Activa
