id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado
ASG-00001,Basico,2,Guayaquil,3,1,True,383.7
ASG-00002,Premium,11,Loja,1,4,False,319.1
ASG-00003,Premium,4,Quito,1,4,True,729.6
ASG-00004,Basico,9,Manta,2,3,False,785.7
ASG-00005,Premium,13,Quito,4,2,False,393.3
ASG-00006,Estandar,2,Guayaquil,4,0,False,808.5
ASG-00007,Basico,5,Guayaquil,4,4,True,883.9
ASG-00008,Estandar,2,Ambato,3,5,False,646.4
ASG-00009,Basico,2,Guayaquil,2,2,True,813.2
ASG-00010,Premium,7,Cuenca,4,5,False,397.6
ASG-00011,Estandar,4,Loja,3,5,True,665.5
ASG-00012,Premium,9,Loja,2,1,False,527.7
ASG-00013,Basico,12,Ambato,2,5,False,805.7
ASG-00014,Premium,4,Guayaquil,3,3,False,339.7
ASG-00015,Basico,15,Loja,3,1,False,537.4
ASG-00016,Basico,8,Quito,3,1,True,747.0
ASG-00017,Basico,5,Loja,4,4,False,517.2
ASG-00018,Premium,9,Manta,1,0,True,391.7
ASG-00019,Premium,13,Loja,4,4,True,530.9
ASG-00020,Basico,8,Ambato,3,4,True,708.2
ASG-00021,Premium,11,Ambato,3,5,False,366.9
ASG-00022,Estandar,3,Manta,1,5,False,883.1
ASG-00023,Premium,9,Guayaquil,3,5,True,391.7
ASG-00024,Premium,9,Ambato,1,4,False,593.2
ASG-00025,Premium,15,Cuenca,3,1,True,444.5
ASG-00026,Basico,2,Guayaquil,4,0,True,377.0
ASG-00027,Estandar,9,Quito,3,4,False,878.6
ASG-00028,Basico,13,Loja,2,5,False,539.4
ASG-00029,Basico,11,Cuenca,4,4,False,372.6
ASG-00030,Premium,2,Cuenca,1,4,True,653.1
ASG-00031,Premium,2,Loja,1,1,True,843.3
ASG-00032,Estandar,2,Ambato,2,2,False,428.5
ASG-00033,Premium,12,Ambato,4,1,False,784.5
ASG-00034,Premium,2,Guayaquil,4,2,False,546.7
ASG-00035,Basico,1,Loja,1,0,False,736.9
ASG-00036,Premium,4,Quito,2,4,False,384.1
ASG-00037,Premium,5,Manta,2,0,False,784.8
ASG-00038,Basico,2,Guayaquil,1,0,True,399.8
ASG-00039,Estandar,8,Quito,4,0,True,527.4
ASG-00040,Estandar,5,Manta,3,3,False,392.9
