id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000001,SIN-00001,Factura taller,False,True,2025-08-26,False,Sin observaciones
DOC-000002,SIN-00001,Cedula asegurado,False,True,2025-08-27,False,Sin observaciones
DOC-000003,SIN-00001,Denuncia policial,False,True,2025-08-27,False,Sin observaciones
DOC-000004,SIN-00002,Cedula asegurado,True,True,2024-11-28,False,Sin observaciones
DOC-000005,SIN-00002,Informe perito,True,True,2024-11-25,False,Sin observaciones
DOC-000006,SIN-00002,Denuncia policial,True,True,2024-11-25,False,Sin observaciones
DOC-000007,SIN-00003,Cedula asegurado,True,True,2026-06-27,False,Sin observaciones
DOC-000008,SIN-00003,Foto evidencia,True,True,2026-07-02,False,Sin observaciones
DOC-000009,SIN-00003,Factura taller,True,True,2026-06-27,False,Sin observaciones
DOC-000010,SIN-00004,Cedula asegurado,False,False,2024-12-24,True,Fecha previa al evento detectada
DOC-000011,SIN-00004,Factura taller,False,False,2024-12-21,True,Fecha previa al evento detectada
DOC-000012,SIN-00004,Foto evidencia,False,True,2024-12-24,False,Sin observaciones
DOC-000013,SIN-00005,Denuncia policial,True,True,2024-08-21,False,Sin observaciones
DOC-000014,SIN-00005,Informe perito,True,True,2024-08-20,False,Sin observaciones
DOC-000015,SIN-00005,Factura taller,True,True,2024-08-19,False,Sin observaciones
DOC-000016,SIN-00005,Foto evidencia,True,True,2024-08-23,False,Sin observaciones
DOC-000017,SIN-00006,Informe perito,True,True,2025-10-29,False,Sin observaciones
DOC-000018,SIN-00006,Foto evidencia,True,True,2025-10-31,False,Sin observaciones
DOC-000019,SIN-00006,Cedula asegurado,True,True,2025-10-27,False,Sin observaciones
DOC-000020,SIN-00007,Denuncia policial,False,False,2026-03-24,True,Fecha previa al evento detectada
DOC-000021,SIN-00007,Informe perito,False,False,2026-03-27,True,Fecha previa al evento detectada
DOC-000022,SIN-00007,Foto evidencia,False,False,2026-03-25,True,Fecha previa al evento detectada
DOC-000023,SIN-00007,Factura taller,False,True,2026-03-22,False,Sin observaciones
DOC-000024,SIN-00007,Cedula asegurado,False,False,2026-03-22,True,Fecha previa al evento detectada
DOC-000025,SIN-00008,Informe perito,False,True,2025-08-06,False,Sin observaciones
DOC-000026,SIN-00008,Foto evidencia,False,True,2025-08-05,False,Sin observaciones
DOC-000027,SIN-00008,Cedula asegurado,False,True,2025-08-06,False,Sin observaciones
DOC-000028,SIN-00008,Denuncia policial,False,True,2025-08-10,False,Sin observaciones
DOC-000029,SIN-00008,Factura taller,False,True,2025-08-08,False,Sin observaciones
DOC-000030,SIN-00009,Informe perito,False,True,2024-07-10,False,Sin observaciones
DOC-000031,SIN-00009,Denuncia policial,False,True,2024-07-07,False,Sin observaciones
DOC-000032,SIN-00009,Cedula asegurado,False,True,2024-07-07,False,Sin observaciones
DOC-000033,SIN-00009,Foto evidencia,False,False,2024-07-09,True,Fecha previa al evento detectada
DOC-000034,SIN-00010,Foto evidencia,True,True,2025-10-21,False,Sin observaciones
DOC-000035,SIN-00010,Cedula asegurado,True,True,2025-10-20,False,Sin observaciones
DOC-000036,SIN-00010,Factura taller,True,True,2025-10-20,False,Sin observaciones
