id_vehiculo,id_siniestro,placa,chasis,motor,marca,modelo,anio
VEH-00001,SIN-00001,F904H209,sdY678249853wHZu,aim5351,Mazda,3,2023
VEH-00002,SIN-00002,F904H209,kPL878372951mOhT,qfy0259,Hyundai,Santa Fe,2015
VEH-00003,SIN-00003,F904H209,iNp234218287DHRr,XSS5159,Toyota,Hilux,2022
VEH-00004,SIN-00004,H361E582,fAE023994768Npwg,kVY5083,Hyundai,Tucson,2018
VEH-00005,SIN-00005,H361E582,pNF081480629oQKu,Bii3790,Mazda,BT-50,2015
VEH-00006,SIN-00006,H361E582,FVb318471548UXec,tAQ4364,Toyota,Corolla,2022
VEH-00007,SIN-00007,M885M552,Sok938186011KNnA,whJ5797,Nissan,Kicks,2022
VEH-00008,SIN-00008,M885M552,Kzj462762473YeEL,Kwk6562,Mazda,2,2019
VEH-00009,SIN-00009,M885M552,WDv005881387OsJh,CTK2458,Toyota,Corolla,2017
VEH-00010,SIN-00010,N577F720,XkQ185665279qMod,xRC8351,Toyota,Yaris,2014
VEH-00011,SIN-00011,N577F720,Hzv640424187tiVq,Dqb3004,Nissan,Versa,2022
VEH-00012,SIN-00012,N577F720,Coy982942538XDrE,Yyp7688,Kia,Sportage,2018
VEH-00013,SIN-00013,C212L399,WIE267556776RsYv,FUH9220,Hyundai,Accent,2019
VEH-00014,SIN-00014,C212L399,OoY544234516jnNv,GWb8517,Chevrolet,D-Max,2020
VEH-00015,SIN-00015,C212L399,wFA333721111vVFJ,sIy0948,Toyota,Yaris,2014
VEH-00016,SIN-00016,C861B848,Wsq023532856IBqk,bvg1990,Nissan,Sentra,2015
VEH-00017,SIN-00017,E260D707,JTM356084239nCkj,cpG8147,Mazda,CX-5,2018
VEH-00018,SIN-00018,C905L553,FLp686932297BNYn,iQt8963,Mazda,CX-5,2022
VEH-00019,SIN-00019,P896R216,XIo696482850eSft,csI3061,Kia,Rio,2017
VEH-00020,SIN-00020,Q599A552,lnx248558057cyTe,AhS4343,Chevrolet,Captiva,2017
VEH-00021,SIN-00021,C482G157,cpx092223987xiHF,fvR7931,Mazda,BT-50,2016
VEH-00022,SIN-00022,B110F106,XXo966024039wpqD,XlL5447,Hyundai,Tucson,2024
VEH-00023,SIN-00023,N860H673,Fuh397027002xtnO,ODj0777,Nissan,Sentra,2020
VEH-00024,SIN-00024,B318K753,lrE349082234ajGw,kws3971,Mazda,BT-50,2012
VEH-00025,SIN-00025,L615N563,gcy997140459DfQu,Mla5368,Chevrolet,Aveo,2012
VEH-00026,SIN-00026,B378A719,SNB239139743Iwka,vmI3812,Chevrolet,D-Max,2016
VEH-00027,SIN-00027,Q795M404,OTH614535579xNfz,ApB0279,Kia,Rio,2020
VEH-00028,SIN-00028,E345P654,JOI749975111pkPk,Fom6258,Nissan,Versa,2012
VEH-00029,SIN-00029,H950E557,AMy658163003jzdf,RIv7598,Toyota,Hilux,2013
VEH-00030,SIN-00030,L202H350,hDf344662598wFIk,AZP5634,Toyota,RAV4,2018
VEH-00031,SIN-00031,D658K263,LUp028885648TxZw,flz7720,Toyota,Hilux,2012
VEH-00032,SIN-00032,H648F470,Bnf889276409WVpH,FcP2352,Toyota,Hilux,2014
VEH-00033,SIN-00033,G801C870,iEF502696829BIdc,MMH6750,Toyota,Yaris,2020
VEH-00034,SIN-00034,P327P961,gOx759276941xKFv,UzW8191,Toyota,Corolla,2015
VEH-00035,SIN-00035,C764R351,RAX687891855ZsRi,lmd9049,Mazda,2,2021
VEH-00036,SIN-00036,Q867K763,WkS187622891CHhd,DIS8552,Toyota,Yaris,2018
VEH-00037,SIN-00037,F147B123,jaq271330189vuAf,kRi0407,Kia,Picanto,2014
VEH-00038,SIN-00038,J815D899,bqn090209926fNQW,yJu2843,Toyota,Corolla,2019
VEH-00039,SIN-00039,Q216P347,zTO553674419Yfli,hCP8599,Toyota,RAV4,2020
VEH-00040,SIN-00040,A913L206,Cxs089008927jPiR,XWz4732,Hyundai,Tucson,2015
VEH-00041,SIN-00041,A641M182,Zkd868296368DePR,kAA5777,Kia,Rio,2024
VEH-00042,SIN-00042,C737J917,Dbj673936677YMOW,wCv7056,Mazda,BT-50,2017
VEH-00043,SIN-00043,M530R245,HTf933050546PrlV,UfF4222,Hyundai,Elantra,2017
VEH-00044,SIN-00044,N942D714,FHo391569238ZdzU,DmR3009,Hyundai,Tucson,2019
VEH-00045,SIN-00045,R180H549,GNO521646446qXxa,HlN4600,Kia,Sorento,2023
VEH-00046,SIN-00046,D804P868,pAb521903057eebU,XEw7142,Nissan,Kicks,2018
VEH-00047,SIN-00047,M510D237,ByL665489052kcLi,gJJ5071,Chevrolet,Aveo,2024
VEH-00048,SIN-00048,Q656H125,Ftr648974708KElF,tEg3988,Kia,Picanto,2017
